Linux 6.6.23 (eternity8) 	2025년 05월 29일 	_x86_64_	(40 CPU)

14시 40분 53초     CPU     %user     %nice   %system   %iowait    %steal     %idle
14시 40분 58초       8      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초       9      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      10      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      11      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      12      0.00      0.00      0.99      0.00      0.00     99.01
14시 40분 58초      13      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      14      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      15      0.00      0.00      0.99      0.00      0.00     99.01
14시 40분 58초      16      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      17      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      18      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      19      0.00      0.00      1.00      0.00      0.00     99.00
14시 40분 58초      20      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      21      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      22      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      23      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      24      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      25      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      26      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      27      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      28      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      29      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      30      0.00      0.00      0.99      0.00      0.00     99.01
14시 40분 58초      31      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      32      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      33      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      34      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      35      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      36      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      37      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      38      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초      39      0.00      0.00      0.00      0.00      0.00    100.00

14시 40분 58초     CPU     %user     %nice   %system   %iowait    %steal     %idle
14시 40분 59초     all      0.00      0.00      0.03      0.00      0.00     99.97
14시 40분 59초       0      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초       1      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초       2      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초       3      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초       4      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초       5      0.00      0.00      0.00      0.00      0.00    100.00
